epoch,mean_episode_reward,mean_jain_index,total_policy_loss,total_value_loss
1,674.194924,0.730014,-16.307583,310.740509
2,739.598952,0.739904,-17.894713,369.391724
3,773.501760,0.724320,-18.631379,390.956383
4,717.803586,0.745425,-16.823767,325.952454
5,710.596905,0.709166,-16.226776,294.565910
6,628.132793,0.727851,-13.985669,231.306671
7,735.850192,0.740358,-16.129149,294.266029
8,750.084504,0.778487,-15.834640,298.301064
9,858.883177,0.782294,-17.748302,360.994659
10,776.086570,0.765733,-14.913006,272.011841
11,897.476355,0.797164,-16.418327,324.560875
12,864.438568,0.799270,-14.711293,297.557072
13,813.506994,0.792834,-12.210542,244.631771
14,815.098952,0.802810,-11.414795,239.063904
15,925.376196,0.791264,-10.113207,284.223785
16,870.917050,0.789463,-9.181239,347.538055
17,799.656018,0.784571,-1.344109,454.238319
18,852.382146,0.774618,-3.906909,403.455772
19,933.155737,0.791147,-4.108458,456.206177
20,835.915201,0.791287,-5.132187,326.724640
21,777.776060,0.783511,-2.737072,445.555527
22,861.502913,0.784483,-1.790287,472.254204
23,823.366578,0.771105,-2.746166,302.454285
24,837.695932,0.798336,-3.883172,378.774055
25,906.522120,0.797679,-3.892623,432.645744
26,889.565457,0.793852,-3.915396,384.798759
27,810.244142,0.776446,-0.673163,427.420265
28,822.030555,0.760867,-1.630820,409.699799
29,694.193817,0.720493,-0.725840,394.295616
30,803.042290,0.776078,-3.321234,321.359795
31,810.519503,0.757795,-3.509565,286.702263
32,807.896355,0.778337,-3.059779,295.404907
33,842.342991,0.795349,-4.947126,288.854950
34,969.247795,0.806582,-5.698734,321.925964
35,986.328058,0.827051,-5.752292,290.241600
36,956.534138,0.812941,-3.927090,345.283394
37,933.033688,0.831250,-3.202956,428.466728
38,844.615943,0.791196,-0.081055,550.978363
39,755.298516,0.769623,-0.920916,436.368828
40,819.624086,0.765837,-0.936337,329.649605
41,993.660884,0.821490,-5.103712,408.296623
42,800.785605,0.787247,-3.152160,318.389702
43,880.893849,0.814219,-3.720965,333.344200
44,943.563766,0.813528,-4.086825,374.577339
45,975.280142,0.811263,-2.639894,350.069382
46,882.248881,0.803065,-0.302500,287.094719
47,880.085584,0.815320,-1.871543,309.297073
48,842.205942,0.803809,-1.375322,403.570503
49,886.114439,0.803423,-0.710748,379.234886
50,799.498261,0.803344,-1.927293,391.240227
51,918.752289,0.816640,-2.767956,293.823387
52,902.191927,0.810616,-2.091887,376.865501
53,864.037789,0.813981,-1.862135,385.913971
54,965.877423,0.801368,-1.242057,317.240982
55,897.568459,0.808558,-0.201733,419.248573
56,926.449755,0.796789,-0.423256,339.082314
57,901.805629,0.810510,-0.763277,432.652489
58,893.142796,0.820907,-1.537213,270.724934
59,1008.313131,0.819245,-3.465846,323.155029
60,897.328818,0.790986,-0.906393,444.659943
61,892.256488,0.801434,0.522087,295.651825
62,968.512797,0.829090,-2.126247,382.168674
63,1062.139512,0.825996,-2.394246,324.799618
64,960.184603,0.833417,-2.341077,323.471249
65,972.678261,0.809873,-0.342404,355.521938
66,834.596781,0.810977,-0.987575,262.225565
67,931.628021,0.804900,-0.808041,332.478699
68,883.411347,0.818874,-1.148327,342.369259
69,1041.238272,0.841353,-2.989172,340.973976
70,943.146966,0.814315,-0.097154,400.169025
71,1027.542502,0.824120,-0.733361,356.612488
72,985.371150,0.821351,-0.490497,437.246029
73,918.005254,0.814390,1.569546,343.806980
74,915.624631,0.824092,0.582730,313.120907
75,1037.893917,0.813953,0.211482,318.911903
76,986.990451,0.825101,-0.186316,383.378128
77,1040.423240,0.830303,-0.953967,349.264874
78,972.718452,0.804531,1.290041,411.583000
79,1086.263950,0.824075,-1.502051,341.580093
80,905.771457,0.793789,0.709119,336.775871
81,906.119154,0.810135,1.005428,401.897095
82,1056.252314,0.821277,-1.175275,425.963337
83,968.327104,0.821744,1.318844,310.975357
84,953.371129,0.810655,0.333103,384.480309
85,1054.273092,0.828910,-0.850215,371.474033
86,1023.290439,0.835363,-0.307809,417.039452
87,997.590885,0.812455,0.864035,380.326969
88,1025.296427,0.817208,-1.033379,323.502102
89,916.608109,0.820848,1.161824,400.025646
90,950.585258,0.828656,1.158028,374.408875
91,1000.276211,0.810521,-0.748752,348.686108
92,991.119066,0.809984,-0.779450,316.473621
93,910.373909,0.800578,0.992971,301.352867
94,1044.053487,0.817379,-0.858525,413.570801
95,1021.783763,0.826786,-1.046972,374.800419
96,997.541481,0.820304,-0.215281,329.402031
97,932.242577,0.812159,0.860079,367.047771
98,902.877280,0.809195,1.964222,465.421753
99,797.635854,0.772015,1.807553,365.783806
100,837.165890,0.761735,1.443152,319.765953
101,1022.854199,0.824244,-2.291828,401.332005
102,832.755420,0.790058,0.062541,268.135391
103,877.738216,0.790111,-0.442013,330.095150
104,931.282708,0.773228,-0.622541,357.334400
105,1034.948988,0.822603,-3.542610,325.592049
106,887.901117,0.797002,0.910165,345.314873
107,891.059685,0.784257,-0.314943,240.373953
108,854.244149,0.785289,0.923875,344.511570
109,898.603834,0.775867,0.105285,328.762238
110,816.200396,0.774342,-0.199695,331.288551
111,968.235172,0.818815,-2.306499,263.721966
112,905.350970,0.793856,0.528451,359.965561
113,883.285163,0.806603,-0.211555,323.653645
114,1004.845765,0.807779,-0.086299,329.908474
115,944.346196,0.785986,-0.223797,302.621174
116,941.361043,0.798926,1.109189,348.254673
117,938.272303,0.809681,0.465000,367.721706
118,911.974513,0.807438,-0.411361,257.564724
119,1030.788284,0.816589,-1.511106,346.285519
120,908.681941,0.788341,1.915879,432.583630
121,927.272512,0.787848,0.228091,343.294647
122,912.975207,0.783872,0.323538,325.120323
123,905.723127,0.771238,0.960230,297.085335
124,933.630396,0.789577,0.291397,368.396492
125,968.543482,0.797365,0.338637,329.665272
126,943.241539,0.788410,-0.974677,312.385239
127,976.672517,0.802757,-0.418574,351.190121
128,848.653846,0.792419,0.565288,282.245148
129,960.755729,0.788007,-0.657965,305.849983
130,936.265211,0.795705,-0.820531,274.500082
131,1003.443066,0.801676,-1.815990,225.992033
132,941.200172,0.810628,-0.825483,322.640709
133,870.625981,0.752243,2.183996,278.396645
134,974.307610,0.794584,-0.831204,272.835430
135,904.283422,0.799891,-0.009752,350.355789
136,914.443724,0.762084,3.137397,467.809464
137,962.237176,0.779889,-1.942244,266.060764
138,1013.896053,0.787061,-1.941529,303.531563
139,937.835239,0.794361,-1.281499,315.644650
140,900.701559,0.799287,-0.391487,329.179447
141,853.606951,0.789344,0.921296,285.280899
142,952.264328,0.784597,0.421818,301.768883
143,902.845787,0.809952,-0.493376,410.652000
144,858.816459,0.759839,1.892736,342.258602
145,940.207356,0.798741,-0.766560,353.014423
146,1003.067133,0.810915,-2.613621,302.687763
147,884.431250,0.776936,0.701977,294.474861
148,856.196278,0.792559,1.593959,320.695232
149,948.134075,0.791343,-0.381477,448.191345
150,919.120042,0.779854,-0.508843,303.670788
